day,case,weight,calories_burned,bmr
1,moderate exercise,217.9480862915151,181.6979796971814,1709.1680000000001
2,moderate exercise,217.89618494556748,181.65471081667545,1708.9325194183125
3,moderate exercise,217.84429595921318,181.61145224005966,1708.6970949130941
4,moderate exercise,217.79241932950893,181.56820396488024,1708.461726470991
5,moderate exercise,217.74055505351217,181.52496598868404,1708.2264140786524
6,moderate exercise,217.68870312828102,181.48173830901862,1707.9911577227313
7,moderate exercise,217.63686355087432,181.4385209234319,1707.7559573898825
8,moderate exercise,217.58503631835163,181.39531382947246,1707.5208130667659
9,moderate exercise,217.53322142777316,181.3521170246896,1707.285724740043
10,moderate exercise,217.48141887619983,181.30893050663298,1707.050692396379
11,moderate exercise,217.42962866069328,181.265754272853,1706.8157160224423
12,moderate exercise,217.3778507783159,181.22258832090063,1706.5807956049048
13,moderate exercise,217.32608522613066,181.17943264832735,1706.345931130441
14,moderate exercise,217.27433200120132,181.13628725268532,1706.1111225857285
15,moderate exercise,217.2225911005923,181.0931521315272,1705.8763699574492
16,moderate exercise,217.17086252136875,181.05002728240618,1705.6416732322866
17,moderate exercise,217.1191462605965,181.0069127028763,1705.4070323969286
18,moderate exercise,217.06744231534208,180.96380839049183,1705.1724474380658
19,moderate exercise,217.01575068267272,180.92071434280788,1704.9379183423916
20,moderate exercise,216.96407135965632,180.87763055738003,1704.7034450966034
21,moderate exercise,216.91240434336152,180.83455703176446,1704.469027687401
22,moderate exercise,216.86074963085764,180.7914937635179,1704.2346661014878
23,moderate exercise,216.80910721921472,180.74844075019774,1704.0003603255702
24,moderate exercise,216.75747710550348,180.70539798936193,1703.766110346358
25,moderate exercise,216.70585928679532,180.66236547856894,1703.5319161505638
26,moderate exercise,216.65425376016236,180.61934321537788,1703.2977777249034
27,moderate exercise,216.6026605226774,180.57633119734848,1703.0636950560965
28,moderate exercise,216.55107957141396,180.53332942204088,1702.8296681308648
29,moderate exercise,216.49951090344624,180.49033788701598,1702.5956969359336
30,moderate exercise,216.44795451584915,180.4473565898352,1702.361781458032
31,moderate exercise,216.39641040569828,180.40438552806054,1702.1279216838916
32,moderate exercise,216.3448785700699,180.3614246992546,1701.8941176002472
33,moderate exercise,216.29335900604104,180.31847410098047,1701.6603691938371
34,moderate exercise,216.2418517106894,180.2755337308019,1701.4266764514023
35,moderate exercise,216.1903566810933,180.23260358628326,1701.1930393596872
36,moderate exercise,216.13887391433187,180.18968366498942,1700.9594579054392
37,moderate exercise,216.08740340748489,180.14677396448587,1700.7259320754092
38,moderate exercise,216.0359451576328,180.10387448233868,1700.4924618563514
39,moderate exercise,215.98449916185677,180.06098521611446,1700.2590472350223
40,moderate exercise,215.93306541723868,180.01810616338048,1700.0256881981823
41,moderate exercise,215.88164392086105,179.97523732170444,1699.7923847325947
42,moderate exercise,215.83023466980714,179.93237868865484,1699.5591368250257
43,moderate exercise,215.7788376611609,179.8895302618005,1699.3259444622452
44,moderate exercise,215.727452892007,179.84669203871107,1699.0928076310258
45,moderate exercise,215.67608035943073,179.80386401695662,1698.8597263181437
46,moderate exercise,215.62472006051811,179.76104619410785,1698.6267005103778
47,moderate exercise,215.5733719923559,179.71823856773597,1698.3937301945102
48,moderate exercise,215.5220361520315,179.6754411354129,1698.1608153573263
49,moderate exercise,215.470712536633,179.63265389471107,1697.9279559856147
50,moderate exercise,215.41940114324922,179.58987684320343,1697.6951520661673
51,moderate exercise,215.36810196896965,179.54710997846362,1697.4624035857782
52,moderate exercise,215.31681501088448,179.5043532980658,1697.2297105312464
53,moderate exercise,215.2655402660846,179.46160679958462,1696.997072889372
54,moderate exercise,215.21427773166158,179.4188704805955,1696.7644906469598
55,moderate exercise,215.16302740470766,179.37614433867435,1696.531963790817
56,moderate exercise,215.11178928231584,179.3334283713975,1696.299492307754
57,moderate exercise,215.06056336157974,179.29072257634212,1696.0670761845845
58,moderate exercise,215.00934963959372,179.24802695108582,1695.8347154081257
59,moderate exercise,214.9581481134528,179.20534149320676,1695.6024099651972
60,moderate exercise,214.90695878025272,179.16266620028375,1695.370159842622
61,moderate exercise,214.8557816370899,179.12000106989615,1695.1379650272263
62,moderate exercise,214.80461668106145,179.07734609962387,1694.9058255058399
63,moderate exercise,214.75346390926515,179.03470128704743,1694.6737412652947
64,moderate exercise,214.7023233187995,178.99206662974785,1694.4417122924267
65,moderate exercise,214.6511949067637,178.94944212530692,1694.2097385740744
66,moderate exercise,214.6000786702576,178.90682777130678,1693.97782009708
67,moderate exercise,214.5489746063818,178.86422356533024,1693.7459568482884
68,moderate exercise,214.49788271223753,178.82162950496073,1693.5141488145478
69,moderate exercise,214.44680298492673,178.77904558778224,1693.2823959827094
70,moderate exercise,214.39573542155205,178.73647181137926,1693.0506983396276
71,moderate exercise,214.3446800192168,178.69390817333687,1692.8190558721599
72,moderate exercise,214.29363677502502,178.6513546712408,1692.5874685671674
73,moderate exercise,214.2426056860814,178.60881130267734,1692.3559364115135
74,moderate exercise,214.19158674949134,178.56627806523326,1692.124459392065
75,moderate exercise,214.1405799623609,178.52375495649605,1691.8930374956926
76,moderate exercise,214.08958532179687,178.48124197405366,1691.661670709269
77,moderate exercise,214.03860282490675,178.43873911549466,1691.4303590196705
78,moderate exercise,213.98763246879864,178.39624637840814,1691.199102413777
79,moderate exercise,213.93667425058138,178.35376376038388,1690.9679008784706
80,moderate exercise,213.8857281673645,178.31129125901214,1690.736754400637
81,moderate exercise,213.83479421625825,178.26882887188376,1690.5056629671653
82,moderate exercise,213.7838723943735,178.22637659659017,1690.2746265649473
83,moderate exercise,213.73296269882186,178.18393443072335,1690.0436451808782
84,moderate exercise,213.68206512671563,178.141502371876,1689.812718801856
85,moderate exercise,213.63117967516774,178.09908041764118,1689.581847414782
86,moderate exercise,213.58030634129184,178.05666856561257,1689.3510310065608
87,moderate exercise,213.5294451222023,178.01426681338452,1689.1202695640998
88,moderate exercise,213.47859601501415,177.9718751585519,1688.8895630743095
89,moderate exercise,213.42775901684308,177.92949359871022,1688.658911524104
90,moderate exercise,213.37693412480553,177.88712213145538,1688.4283149004002
91,moderate exercise,213.32612133601856,177.84476075438405,1688.197773190118
92,moderate exercise,213.27532064759995,177.80240946509338,1687.9672863801802
93,moderate exercise,213.22453205666818,177.76006826118103,1687.7368544575133
94,moderate exercise,213.17375556034239,177.71773714024542,1687.506477409047
95,moderate exercise,213.12299115574243,177.6754160998853,1687.276155221713
96,moderate exercise,213.07223883998878,177.63310513770026,1687.0458878824475
97,moderate exercise,213.0214986102027,177.59080425129022,1686.815675378189
98,moderate exercise,212.97077046350606,177.54851343825584,1686.5855176958794
99,moderate exercise,212.92005439702143,177.50623269619817,1686.3554148224634
100,moderate exercise,212.86935040787208,177.46396202271907,1686.125366744889
101,moderate exercise,212.81865849318194,177.42170141542078,1685.8953734501079
102,moderate exercise,212.7679786500757,177.3794508719062,1685.6654349250732
103,moderate exercise,212.7173108756786,177.33721038977876,1685.4355511567433
104,moderate exercise,212.66665516711672,177.29497996664253,1685.205722132078
105,moderate exercise,212.6160115215167,177.25275960010202,1684.9759478380415
106,moderate exercise,212.5653799360059,177.21054928776252,1684.7462282615998
107,moderate exercise,212.51476040771243,177.1683490272296,1684.5165633897227
108,moderate exercise,212.46415293376498,177.12615881610964,1684.2869532093837
109,moderate exercise,212.41355751129296,177.0839786520095,1684.0573977075578
110,moderate exercise,212.36297413742653,177.0418085325366,1683.8278968712248
111,moderate exercise,212.31240280929646,176.999648455299,1683.5984506873667
112,moderate exercise,212.2618435240342,176.95749841790527,1683.3690591429686
113,moderate exercise,212.21129627877193,176.91535841796448,1683.1397222250189
