day,case,weight,calories_burned,bmr
1,rigorous exercise,217.8961725830302,363.3959593943628,1694.1680000000001
2,rigorous exercise,217.79239461620952,363.222883872339,1693.6970388366249
3,rigorous exercise,217.68866607598625,363.0498907814363,1693.2263019791262
4,rigorous exercise,217.58498693881984,362.87698008239494,1692.7557893206736
5,rigorous exercise,217.48135718118098,362.704151735974,1692.2855007544867
6,rigorous exercise,217.37777677955157,362.53140570295113,1691.815436173837
7,rigorous exercise,217.27424571042468,362.35874194412287,1691.3455954720457
8,rigorous exercise,217.1707639503046,362.1861604203041,1690.8759785424863
9,rigorous exercise,217.0673314757068,362.0136610923286,1690.4065852785816
10,rigorous exercise,216.96394826315793,361.84124392104883,1689.937415573806
11,rigorous exercise,216.86061428919584,361.66890886733563,1689.4684693216843
12,rigorous exercise,216.75732953036953,361.49665589207876,1688.9997464157923
13,rigorous exercise,216.6540939632392,361.32448495618655,1688.531246749756
14,rigorous exercise,216.5509075643762,361.15239602058597,1688.062970217253
15,rigorous exercise,216.44777031036298,360.9803890462223,1687.5949167120102
16,rigorous exercise,216.34468217779326,360.8084639940597,1687.1270861278065
17,rigorous exercise,216.2416431432718,360.63662082508114,1686.65947835847
18,rigorous exercise,216.1386531834146,360.46485950028756,1686.192093297881
19,rigorous exercise,216.03571227484866,360.29317998069905,1685.7249308399687
20,rigorous exercise,215.93282039421229,360.1215822273539,1685.2579908787134
21,rigorous exercise,215.82997751815478,359.95006620130914,1684.7912733081469
22,rigorous exercise,215.7271836233366,359.7786318636404,1684.32477802235
23,rigorous exercise,215.62443868642933,359.6072791754416,1683.858504915455
24,rigorous exercise,215.52174268411565,359.4360080978254,1683.3924538816434
25,rigorous exercise,215.4190955930894,359.2648185919229,1682.9266248151484
26,rigorous exercise,215.31649739005542,359.0937106188838,1682.4610176102533
27,rigorous exercise,215.21394805172974,358.92268413987614,1681.9956321612913
28,rigorous exercise,215.11144755483943,358.7517391160866,1681.530468362646
29,rigorous exercise,215.00899587612264,358.5808755087203,1681.0655261087518
30,rigorous exercise,214.90659299232863,358.4100932790009,1680.6008052940924
31,rigorous exercise,214.80423888021772,358.2393923881702,1680.1363058132026
32,rigorous exercise,214.7019335165613,358.068772797489,1679.6720275606676
33,rigorous exercise,214.5996768781418,357.8982344682362,1679.207970431122
34,rigorous exercise,214.49746894175274,357.7277773617092,1678.744134319251
35,rigorous exercise,214.39530968419868,357.5574014392238,1678.2805191197904
36,rigorous exercise,214.29319908229522,357.38710666211426,1677.8171247275252
37,rigorous exercise,214.191137112869,357.21689299173323,1677.3539510372912
38,rigorous exercise,214.08912375275773,357.046760389452,1676.8909979439736
39,rigorous exercise,213.9871589788101,356.87670881665986,1676.428265342509
40,rigorous exercise,213.88524276788587,356.70673823476477,1675.9657531278826
41,rigorous exercise,213.78337509685582,356.53684860519303,1675.5034611951303
42,rigorous exercise,213.6815559426017,356.3670398893892,1675.041389439338
43,rigorous exercise,213.57978528201633,356.1973120488163,1674.5795377556412
44,rigorous exercise,213.47806309200348,356.02766504495565,1674.117906039226
45,rigorous exercise,213.37638934947796,355.858098839307,1673.6564941853278
46,rigorous exercise,213.27476403136558,355.6886133933882,1673.195302089232
47,rigorous exercise,213.17318711460308,355.51920866873587,1672.734329646274
48,rigorous exercise,213.07165857613825,355.3498846269046,1672.2735767518395
49,rigorous exercise,212.97017839292982,355.1806412294673,1671.813043301363
50,rigorous exercise,212.86874654194753,355.0114784380153,1671.3527291903297
51,rigorous exercise,212.76736300017205,354.84239621415816,1670.892634314274
52,rigorous exercise,212.66602774459506,354.6733945195237,1670.4327585687804
